Excel file,Paper count
Low_environmental_impact_material.xls,35289
trasparent_polymers.xls,23338
Flexible at Low Temperatures.xls,16795
Low adsorption of proteins.xls,15075
Low coefficient of friction material.xls,14309
Broad Temperature Stability.xls,10747
chemical_resistance_to_enzymes.xls,8846
very_high_thermal_resistance.xls,7319
Low surface energy leads to low adsorption.xls,7070
very_high_chemical_resistance.xls,6819
Low_absorption_of_small_molecules.xls,5569
cold_and_cryogenic.xls,5071
chemically inert.xls,4258
Low diffusion of small molecules.xls,3558
Extreme_Thermal_resistance.xls,3138
Chemical_resistance_to_strong_acid.xls,2528
Extreme_chemical_resistance.xls,2110
Chemical_resistance_to_organic_solvents.xls,1935
Chemical_Resistance_to_Methanol.xls,1702
Sterilization Safe.xls,1636
transmission_and_low_refractive_index.xls,953
Chemical_Resistance_to_acetone.xls,813
lamination_flexible.xls,705
no_kink_bends.xls,398
laminates_to_silicone.xls,266
Chemical_resistance_to_DMSO.xls,229
chemical_resistance_to_fluorescent_dyes.xls,196
Compatible with Sterilization.xls,191
lamination_compatible.xls,183
Low_extractable_and_Leachable.xls,83
Chemical_Resistance_to_Protein_Denaturants.xls,63
Chemical_resistance_to_guanine_hydrochloride.xls,50
low_adsorption_of_flavors.xls,50
chemical_resistance_to_alkaline_phosphatase.xls,50
Impermeability_of_small_molecules.xls,50
Laminates_well_to_silicone.xls,41
flexible_no_kink_bends.xls,24
laminates_to_primer.xls,23
survive_lamination_process.xls,15
chemical_resistance_to_luminol.xls,15
Biocompatible and Non-reactive.xls,14
chemical_resistance_to_horseradish_peroxide.xls,14
Resistance_to_acridinium_esters.xls,6
chemical_resistance_to_immunoassay_reagents.xls,6
Biocompatible and Non-adherence.xls,5
Impermeability of small_organic_molecules.xls,4
flexible_No_kinking_as_it_bends.xls,2
chemical_resistance_to_guanine_thiocyanate.xls,1
TOTAL,181562
