Publisher,Paper count
ELSEVIER,909
AMER CHEMICAL SOC,852
PERGAMON-ELSEVIER SCIENCE LTD,614
WILEY,307
ELSEVIER SCI LTD,286
ACADEMICPRESSINCELSEVIERSCI,251
MDPI,219
ROYAL SOC CHEMISTRY,175
SPRINGER HEIDELBERG,137
USDEPTHEALTHHUMANSCIENCES,84
SPRINGER,76
ELSEVIER SCIENCE SA,56
FRONTIERS MEDIA SA,56
OXFORD UNIV PRESS,54
SPRINGERNATURE,51
ELSEVIER GMBH,48
TAYLOR & FRANCIS INC,43
TAYLOR & FRANCIS LTD,42
BMC,35
ELSEVIER IRELAND LTD,35
WILEY-V C H VERLAG GMBH,33
ELSEVIER SCIENCE BV,31
LIPPINCOTT WILLIAMS & WILKINS,27
NATURE PORTFOLIO,27
SCIENCE PRESS,25
ACADEMICPRESS LTD-ELSEVIER SC,24
ASCE-AMER SOC CIVIL ENGINEERS,14
ELSEVIER SCIENCE INC,14
KEAI PUBLISHING LTD,13
OXFORD UNIV PRESS INC,13
SAGE PUBLICATIONS INC,12
CELL PRESS,11
AMER ASSOCADVANCEMENTSCIENCE,10
ENDOCRINE SOC,10
HIGHER EDUCATION PRESS,10
PUBLIC LIBRARY SCIENCE,9
"ROUTLEDGEJOURNALS,TAYLOR&FR",8
SPRINGER INT PUBL AG,7
WALTER DE GRUYTER GMBH,7
AIP Publishing,6
CSIRO PUBLISHING,6
IWA PUBLISHING,6
SAGE PUBLICATIONS LTD,6
AMER GEOPHYSICAL UNION,5
IEEE,5
MJH Life Sciences,5
AMER ASSOC CANCER RESEARCH,4
AMER SOC CIVIL ENGINEERS,4
"ELSEVIER GMBH, URBAN&FISCHER",4
ADVANSTAR COMMUNICATIONS INC,3
AMER DIABETES ASSOC,3
AMER VETERINARYMEDICALASSOC,3
CAMBRIDGE UNIV PRESS,3
JAPANESE SOC HYGIENE,3
JOHN LIBBEY EUROTEXT LTD,3
KARGER,3
NATL ENVIRON HEALTH ASSOC,3
SPEKTRUM AKADEMISCHERVERLAG-SP,3
SPRINGER-VERLAG SINGAPOREPTEL,3
AMER PHYSIOLOGICAL SOC,2
AMER SOC NEPHROLOGY,2
CHEMICKE LISTY,2
E D P SCIENCES,2
ELSEVIER SCIENCE LONDON,2
HINDAWI LTD,2
INFERENZE SCARL,2
IOP Publishing Ltd,2
JAPAN SOCANALYTICALCHEMISTRY,2
KOREAN ENDOCRINE SOC,2
"MARY ANN LIEBERT, INC",2
NATL ACAD SCIENCES,2
NATURE PUBLISHING GROUP,2
SCIENDO,2
SPIE-INT SOCOPTICALENGINEERIN,2
SPRINGER SINGAPORE PTE LTD,2
SPRINGER-VERLAGLONDONLTD,2
THIEME MEDICAL PUBL INC,2
UBIQUITY PRESS LTD,2
VISAO FOKKACOMMUNICATIONAGENC,2
W B SAUNDERS CO LTD,2
ACADEMIC PRESSLTD-ELSEVIERSCI,1
AMER ASSOC ZOO VETERINARIANS,1
AMER INSTMATHEMATICALSCIENCES,1
AMER MEDICAL ASSOC,1
AMER PUBLIC HEALTH ASSOC INC,1
AMER SCIENTIFIC PUBLISHERS,1
AMER SOC MICROBIOLOGY,1
BENTHAM SCIENCE PUBL LTD,1
BERGHAHN JOURNALS,1
BIOMED CENTRAL LTD,1
BIOSCIENTIFICA LTD,1
BMJ PUBLISHING GROUP,1
CATHOLIC UNIV AMER PRESS,1
CENTERS DISEASE CONTROL&PREVE,1
CHINESE ACAD SCIENCES,1
CHINESE CENTERDISEASECONTROL,1
CHINESE LASER PRESS,1
COPERNICUS GESELLSCHAFT MBH,1
CRC PRESS-TAYLOR & FRANCISGROU,1
Chinese Center forDiseaseCont,1
DE GRUYTER POLAND SP Z O O,1
ELECTROCHEMICAL SOC INC,1
ELSEVIER ACADEMICPRESSINC,1
ELSEVIER INC,1
EMERALD GROUP PUBLISHING LTD,1
ENVIRO RESEARCH PUBLISHERS,1
EXCERPTA MEDICA INC-ELSEVIERSC,1
FUTURE MEDICINE LTD,1
GEOLOGICAL SOC PUBLHOUSE,1
ICE PUBLISHING,1
IMR PRESS,1
INST TEKNOLOGI BANDUNG,1
INT INST REFRIGERATION,1
IOP PUBLISHING LTD_1,1
JAPAN FOCUS,1
JAPANESE SOCSTUDYXENOBIOTICS,1
"JMIR PUBLICATIONS, INC",1
JOURNAL OF VISUALIZEDEXPERIMEN,1
Korean Pediatric Soc,1
MASSON EDITEUR,1
NANJING MEDICAL UNIV,1
NATL INST PUBLIC HEALTH,1
OCEAN UNIV CHINA,1
Optica Publishing Group,1
PAGEPRESS PUBL,1
PHARMACEUTICAL SOC JAPAN,1
"POLSKA AKAD NAUK,POLISHACADS",1
PREMCHAND SHANTIDEVIRESEARCHF,1
ROYAL SOC,1
SOC BRASILEIRA QUIMICA,1
SOC NEMATOLOGISTS,1
SOCIEDADE PORTUGUESAELECTROQUI,1
SPIE-SOCPHOTO-OPTICALINSTRUME,1
SPRINGER INDIA,1
SPRINGEROPEN,1
SPRINGER_PLENUM PUBLISHERS,1
SWANSEA UNIV,1
TECH ASSOC PULP PAPER IND INC,1
TECHNO-PRESS,1
TSINGHUA UNIV PRESS,1
TURKISH NATLCOMMITTEEAIRPOLL,1
UNIV CALIFORNIA PRESS,1
"UNIV CALIFORNIA, BERKELEYSCHL",1
UNIV CHICAGO PRESS,1
W B SAUNDERS CO-ELSEVIER INC,1
WILEY-BLACKWELL,1
WOODHEAD PUBL LTD,1
TOTAL,4825
